document_id,year,title,filer,document_type,page_count,source_pdf_path
2022-16,2022,Periodic Transaction Report / filing #15 (2022),Rep. Ro Khanna (CA-17),periodic_transaction_report,6,docs/src/2022-16.pdf
2022-2,2022,Periodic Transaction Report / filing #2 (2022),Rep. Ro Khanna (CA-17),periodic_transaction_report,13,docs/src/2022-2.pdf
2022-3,2022,Periodic Transaction Report / filing #3 (2022),Rep. Ro Khanna (CA-17),periodic_transaction_report,12,docs/src/2022-3.pdf
2022-4,2022,Periodic Transaction Report / filing #4 (2022),Rep. Ro Khanna (CA-17),periodic_transaction_report,10,docs/src/2022-4.pdf
2022-5,2022,Periodic Transaction Report / filing #5 (2022),Rep. Ro Khanna (CA-17),periodic_transaction_report,18,docs/src/2022-5.pdf
2022-6,2022,Periodic Transaction Report / filing #6 (2022),Rep. Ro Khanna (CA-17),periodic_transaction_report,67,docs/src/2022-6.pdf
2022-7,2022,Periodic Transaction Report / filing #7 (2022),Rep. Ro Khanna (CA-17),periodic_transaction_report,34,docs/src/2022-7.pdf
2022-8,2022,Periodic Transaction Report / filing #8 (2022),Rep. Ro Khanna (CA-17),periodic_transaction_report,16,docs/src/2022-8.pdf
2022-9,2022,Periodic Transaction Report / filing #9 (2022),Rep. Ro Khanna (CA-17),periodic_transaction_report,24,docs/src/2022-9.pdf
2023-1,2023,Periodic Transaction Report / filing #1 (2023),Rep. Ro Khanna (CA-17),periodic_transaction_report,17,docs/src/2023-1.pdf
2023-10,2023,Periodic Transaction Report / filing #10 (2023),Rep. Ro Khanna (CA-17),periodic_transaction_report,40,docs/src/2023-10.pdf
2023-11,2023,Periodic Transaction Report / filing #11 (2023),Rep. Ro Khanna (CA-17),periodic_transaction_report,14,docs/src/2023-11.pdf
2023-12,2023,Periodic Transaction Report / filing #12 (2023),Rep. Ro Khanna (CA-17),periodic_transaction_report,11,docs/src/2023-12.pdf
2023-13,2023,Periodic Transaction Report / filing #13 (2023),Rep. Ro Khanna (CA-17),periodic_transaction_report,1,docs/src/2023-13.pdf
2023-14,2023,2023 Annual Financial Disclosure (Form A),Rep. Ro Khanna (CA-17),annual_disclosure,327,docs/src/2023-14.pdf
2023-15,2023,Periodic Transaction Report / filing #14 (2023),Rep. Ro Khanna (CA-17),periodic_transaction_report,5,docs/src/2023-15.pdf
2023-2,2023,Periodic Transaction Report / filing #2 (2023),Rep. Ro Khanna (CA-17),periodic_transaction_report,15,docs/src/2023-2.pdf
2023-3,2023,Periodic Transaction Report / filing #3 (2023),Rep. Ro Khanna (CA-17),periodic_transaction_report,23,docs/src/2023-3.pdf
2023-4,2023,Periodic Transaction Report / filing #4 (2023),Rep. Ro Khanna (CA-17),periodic_transaction_report,20,docs/src/2023-4.pdf
2023-5,2023,Periodic Transaction Report / filing #5 (2023),Rep. Ro Khanna (CA-17),periodic_transaction_report,28,docs/src/2023-5.pdf
2023-6,2023,Periodic Transaction Report / filing #6 (2023),Rep. Ro Khanna (CA-17),periodic_transaction_report,33,docs/src/2023-6.pdf
2023-7,2023,Periodic Transaction Report / filing #7 (2023),Rep. Ro Khanna (CA-17),periodic_transaction_report,13,docs/src/2023-7.pdf
2023-8,2023,Periodic Transaction Report / filing #8 (2023),Rep. Ro Khanna (CA-17),periodic_transaction_report,22,docs/src/2023-8.pdf
2023-9,2023,Periodic Transaction Report / filing #9 (2023),Rep. Ro Khanna (CA-17),periodic_transaction_report,15,docs/src/2023-9.pdf
2024-1,2024,2024 Annual Financial Disclosure (Form A),Rep. Ro Khanna (CA-17),annual_disclosure,333,disclosures.pdf
2025-1,2025,Periodic Transaction Report #1 (2025),Rep. Ro Khanna (CA-17),periodic_transaction_report,34,docs/src/2025-1.pdf
2025-10,2025,Periodic Transaction Report #10 (2025),Rep. Ro Khanna (CA-17),periodic_transaction_report,21,docs/src/2025-10.pdf
2025-11,2025,Periodic Transaction Report #11 (2025),Rep. Ro Khanna (CA-17),periodic_transaction_report,15,docs/src/2025-11.pdf
2025-12,2025,Periodic Transaction Report #12 (2025),Rep. Ro Khanna (CA-17),periodic_transaction_report,20,docs/src/2025-12.pdf
2025-13,2025,Financial Disclosure Extension Request,Rep. Ro Khanna (CA-17),extension_request,1,docs/src/2025-13.pdf
2025-14,2025,2025 Annual Financial Disclosure (Form A),Rep. Ro Khanna (CA-17),annual_disclosure,353,docs/src/2025-14.pdf
2025-2,2025,Periodic Transaction Report #2 (2025),Rep. Ro Khanna (CA-17),periodic_transaction_report,28,docs/src/2025-2.pdf
2025-3,2025,Periodic Transaction Report #3 (2025),Rep. Ro Khanna (CA-17),periodic_transaction_report,28,docs/src/2025-3.pdf
2025-4,2025,Periodic Transaction Report #4 (2025),Rep. Ro Khanna (CA-17),periodic_transaction_report,51,docs/src/2025-4.pdf
2025-5,2025,Periodic Transaction Report #5 (2025),Rep. Ro Khanna (CA-17),periodic_transaction_report,26,docs/src/2025-5.pdf
2025-6,2025,Periodic Transaction Report #6 (2025),Rep. Ro Khanna (CA-17),periodic_transaction_report,20,docs/src/2025-6.pdf
2025-7,2025,Periodic Transaction Report #7 (2025),Rep. Ro Khanna (CA-17),periodic_transaction_report,23,docs/src/2025-7.pdf
2025-8,2025,Periodic Transaction Report #8 (2025),Rep. Ro Khanna (CA-17),periodic_transaction_report,24,docs/src/2025-8.pdf
2025-9,2025,Periodic Transaction Report #9 (2025),Rep. Ro Khanna (CA-17),periodic_transaction_report,21,docs/src/2025-9.pdf
2026-1,2026,Periodic Transaction Report #1 (2026),Rep. Ro Khanna (CA-17),periodic_transaction_report,56,docs/src/2026-1.pdf
2026-2,2026,Periodic Transaction Report #2 (2026),Rep. Ro Khanna (CA-17),periodic_transaction_report,41,docs/src/2026-2.pdf
2026-3,2026,Periodic Transaction Report #3 (2026),Rep. Ro Khanna (CA-17),periodic_transaction_report,43,docs/src/2026-3.pdf
2026-4,2026,Periodic Transaction Report #4 (2026),Rep. Ro Khanna (CA-17),periodic_transaction_report,30,docs/src/2026-4.pdf
2026-5,2026,Periodic Transaction Report #5 (2026),Rep. Ro Khanna (CA-17),periodic_transaction_report,41,docs/src/2026-5.pdf
